deg_urb,geo,TIME_PERIOD,OBS_VALUE
DEG1,AL,2017,8.7
DEG1,AL,2018,7.6
DEG1,AL,2019,6.8
DEG1,AL,2020,4.5
DEG1,AT,2010,11.3
DEG1,AT,2011,10.0
DEG1,AT,2012,12.2
DEG1,AT,2013,12.2
DEG1,AT,2014,12.2
DEG1,AT,2015,12.1
DEG1,AT,2016,12.5
DEG1,AT,2017,11.3
DEG1,AT,2018,11.6
DEG1,AT,2019,12.2
DEG1,AT,2020,10.7
DEG1,AT,2021,9.9
DEG1,AT,2022,12.6
DEG1,BE,2010,10.9
DEG1,BE,2011,13.5
DEG1,BE,2012,17.0
DEG1,BE,2013,15.4
DEG1,BE,2014,15.6
DEG1,BE,2015,14.3
DEG1,BE,2016,16.2
DEG1,BE,2017,15.2
DEG1,BE,2018,14.6
DEG1,BE,2019,13.1
DEG1,BE,2020,11.8
DEG1,BE,2021,12.4
DEG1,BE,2022,12.1
DEG1,BG,2010,5.3
DEG1,BG,2011,8.6
DEG1,BG,2012,11.8
DEG1,BG,2013,12.6
DEG1,BG,2014,11.8
DEG1,BG,2015,13.9
DEG1,BG,2016,18.8
DEG1,BG,2017,17.7
DEG1,BG,2018,16.1
DEG1,BG,2019,15.6
DEG1,BG,2020,13.0
DEG1,BG,2021,10.9
DEG1,BG,2022,12.7
DEG1,CH,2010,15.8
DEG1,CH,2011,15.5
DEG1,CH,2012,14.8
DEG1,CH,2013,14.1
DEG1,CH,2014,14.1
DEG1,CH,2015,15.3
DEG1,CH,2016,15.8
DEG1,CH,2017,18.3
DEG1,CH,2018,15.6
DEG1,CH,2019,18.9
DEG1,CH,2020,16.4
DEG1,CH,2021,19.4
DEG1,CY,2010,4.4
DEG1,CY,2011,3.9
DEG1,CY,2012,4.9
DEG1,CY,2013,4.2
DEG1,CY,2014,5.2
DEG1,CY,2015,4.7
DEG1,CY,2016,3.8
DEG1,CY,2017,3.5
DEG1,CY,2018,3.1
DEG1,CY,2019,2.5
DEG1,CY,2020,2.4
DEG1,CY,2021,3.5
DEG1,CZ,2010,11.8
DEG1,CZ,2011,12.9
DEG1,CZ,2012,14.7
DEG1,CZ,2013,16.4
DEG1,CZ,2014,14.8
DEG1,CZ,2015,15.6
DEG1,CZ,2016,14.8
DEG1,CZ,2017,13.4
DEG1,CZ,2018,12.9
DEG1,CZ,2019,11.0
DEG1,CZ,2020,10.2
DEG1,CZ,2021,10.1
DEG1,DE,2010,16.2
DEG1,DE,2011,18.0
DEG1,DE,2012,19.8
DEG1,DE,2013,18.9
DEG1,DE,2014,19.3
DEG1,DE,2015,19.1
DEG1,DE,2016,19.6
DEG1,DE,2017,17.9
DEG1,DE,2018,17.6
DEG1,DE,2019,16.2
DEG1,DE,2020,11.4
DEG1,DE,2021,12.4
DEG1,DK,2010,27.6
DEG1,DK,2011,25.3
DEG1,DK,2012,22.1
DEG1,DK,2013,24.3
DEG1,DK,2014,22.0
DEG1,DK,2015,22.1
DEG1,DK,2016,22.9
DEG1,DK,2017,22.4
DEG1,DK,2018,21.2
DEG1,DK,2019,21.1
DEG1,DK,2020,20.3
DEG1,DK,2021,21.9
DEG1,EE,2010,7.3
DEG1,EE,2011,9.0
DEG1,EE,2012,9.8
DEG1,EE,2013,8.7
DEG1,EE,2014,10.3
DEG1,EE,2015,8.5
DEG1,EE,2016,6.1
DEG1,EE,2017,5.9
DEG1,EE,2018,4.6
DEG1,EE,2019,5.1
DEG1,EE,2020,4.9
DEG1,EE,2021,5.5
DEG1,EE,2022,5.8
DEG1,EL,2010,17.8
DEG1,EL,2011,27.2
DEG1,EL,2012,35.9
DEG1,EL,2013,39.6
DEG1,EL,2014,49.0
DEG1,EL,2015,48.8
DEG1,EL,2016,44.6
DEG1,EL,2017,43.7
DEG1,EL,2018,43.9
DEG1,EL,2019,40.7
DEG1,EL,2020,37.0
DEG1,EL,2021,32.4
DEG1,ES,2010,11.1
DEG1,ES,2011,10.7
DEG1,ES,2012,11.4
DEG1,ES,2013,11.6
DEG1,ES,2014,11.8
DEG1,ES,2015,11.2
DEG1,ES,2016,12.1
DEG1,ES,2017,11.3
DEG1,ES,2018,10.0
DEG1,ES,2019,10.4
DEG1,ES,2020,10.1
DEG1,ES,2021,11.4
DEG1,ES,2022,11.0
DEG1,EU27_2020,2010,11.6
DEG1,EU27_2020,2011,12.5
DEG1,EU27_2020,2012,13.3
DEG1,EU27_2020,2013,13.3
DEG1,EU27_2020,2014,13.2
DEG1,EU27_2020,2015,13.3
DEG1,EU27_2020,2016,13.4
DEG1,EU27_2020,2017,12.4
DEG1,EU27_2020,2018,11.6
DEG1,EU27_2020,2019,11.8
DEG1,EU27_2020,2020,9.9
DEG1,EU27_2020,2021,10.4
DEG1,FI,2010,5.4
DEG1,FI,2011,5.4
DEG1,FI,2012,5.1
DEG1,FI,2013,6.2
DEG1,FI,2014,7.3
DEG1,FI,2015,7.5
DEG1,FI,2016,5.7
DEG1,FI,2017,5.6
DEG1,FI,2018,5.4
DEG1,FI,2019,5.7
DEG1,FI,2020,6.3
DEG1,FI,2021,6.1
DEG1,FI,2022,7.5
DEG1,FR,2010,7.2
DEG1,FR,2011,7.4
DEG1,FR,2012,6.9
DEG1,FR,2013,6.3
DEG1,FR,2014,7.0
DEG1,FR,2015,7.5
DEG1,FR,2016,7.6
DEG1,FR,2017,7.3
DEG1,FR,2018,6.3
DEG1,FR,2019,9.0
DEG1,FR,2020,8.4
DEG1,HR,2010,13.8
DEG1,HR,2011,8.2
DEG1,HR,2012,6.3
DEG1,HR,2013,9.7
DEG1,HR,2014,7.5
DEG1,HR,2015,5.7
DEG1,HR,2016,5.4
DEG1,HR,2017,5.9
DEG1,HR,2018,4.2
DEG1,HR,2019,3.9
DEG1,HR,2020,3.6
DEG1,HR,2021,3.4
DEG1,HU,2010,10.8
DEG1,HU,2011,12.6
DEG1,HU,2012,15.8
DEG1,HU,2013,12.4
DEG1,HU,2014,13.2
DEG1,HU,2015,9.2
DEG1,HU,2016,8.5
DEG1,HU,2017,10.9
DEG1,HU,2018,11.3
DEG1,HU,2019,6.9
DEG1,HU,2020,10.1
DEG1,HU,2021,2.9
DEG1,IE,2010,5.1
DEG1,IE,2011,8.0
DEG1,IE,2012,7.0
DEG1,IE,2013,5.3
DEG1,IE,2014,8.5
DEG1,IE,2015,6.6
DEG1,IE,2016,6.6
DEG1,IE,2017,6.2
DEG1,IE,2018,4.5
DEG1,IE,2019,6.9
DEG1,IE,2020,7.4
DEG1,IE,2021,4.6
DEG1,IS,2010,10.9
DEG1,IS,2011,12.5
DEG1,IS,2012,10.7
DEG1,IS,2013,9.3
DEG1,IS,2014,9.6
DEG1,IS,2015,9.3
DEG1,IS,2016,6.9
DEG1,IS,2017,9.8
DEG1,IS,2018,10.0
DEG1,IT,2010,9.6
DEG1,IT,2011,10.8
DEG1,IT,2012,10.7
DEG1,IT,2013,11.8
DEG1,IT,2014,10.5
DEG1,IT,2015,11.4
DEG1,IT,2016,12.9
DEG1,IT,2017,11.7
DEG1,IT,2018,11.7
DEG1,IT,2019,11.2
DEG1,IT,2020,8.9
DEG1,IT,2021,9.2
DEG1,LT,2010,13.1
DEG1,LT,2011,13.9
DEG1,LT,2012,10.7
DEG1,LT,2013,10.4
DEG1,LT,2014,9.2
DEG1,LT,2015,10.1
DEG1,LT,2016,7.5
DEG1,LT,2017,5.6
DEG1,LT,2018,4.1
DEG1,LT,2019,4.1
DEG1,LT,2020,1.4
DEG1,LT,2021,1.6
DEG1,LU,2010,5.1
DEG1,LU,2011,5.4
DEG1,LU,2012,7.3
DEG1,LU,2013,8.6
DEG1,LU,2014,10.1
DEG1,LU,2015,8.5
DEG1,LU,2016,10.4
DEG1,LU,2017,11.9
DEG1,LU,2018,18.0
DEG1,LU,2019,15.5
DEG1,LU,2020,10.7
DEG1,LU,2021,7.8
DEG1,LV,2010,12.0
DEG1,LV,2011,15.3
DEG1,LV,2012,13.6
DEG1,LV,2013,12.1
DEG1,LV,2014,10.0
DEG1,LV,2015,9.0
DEG1,LV,2016,8.2
DEG1,LV,2017,7.0
DEG1,LV,2018,6.9
DEG1,LV,2019,4.8
DEG1,LV,2020,4.8
DEG1,LV,2021,4.8
DEG1,LV,2022,5.4
DEG1,MK,2016,14.3
DEG1,MK,2017,11.0
DEG1,MK,2018,9.8
DEG1,MK,2019,8.2
DEG1,MK,2020,6.5
DEG1,MT,2010,3.7
DEG1,MT,2011,3.0
DEG1,MT,2012,2.7
DEG1,MT,2013,2.5
DEG1,MT,2014,1.5
DEG1,MT,2015,1.1
DEG1,MT,2016,1.4
DEG1,MT,2017,1.4
DEG1,MT,2018,1.7
DEG1,MT,2019,2.6
DEG1,MT,2020,2.8
DEG1,MT,2021,2.9
DEG1,NL,2010,14.6
DEG1,NL,2011,15.7
DEG1,NL,2012,16.7
DEG1,NL,2013,18.7
DEG1,NL,2014,17.7
DEG1,NL,2015,18.4
DEG1,NL,2016,13.5
DEG1,NL,2017,12.2
DEG1,NL,2018,12.1
DEG1,NL,2019,12.9
DEG1,NL,2020,10.7
DEG1,NL,2021,15.3
DEG1,NL,2022,24.9
DEG1,NO,2010,9.5
DEG1,NO,2011,10.9
DEG1,NO,2012,10.7
DEG1,NO,2013,11.6
DEG1,NO,2015,14.8
DEG1,NO,2016,14.2
DEG1,NO,2017,13.2
DEG1,NO,2018,14.9
DEG1,NO,2019,14.6
DEG1,NO,2020,13.0
DEG1,PL,2010,11.5
DEG1,PL,2011,12.1
DEG1,PL,2012,12.4
DEG1,PL,2013,12.1
DEG1,PL,2014,10.9
DEG1,PL,2015,9.8
DEG1,PL,2016,9.5
DEG1,PL,2017,9.0
DEG1,PL,2018,8.3
DEG1,PL,2019,7.9
DEG1,PL,2020,5.4
DEG1,PL,2021,6.7
DEG1,PT,2010,5.3
DEG1,PT,2011,8.3
DEG1,PT,2012,9.5
DEG1,PT,2013,9.6
DEG1,PT,2014,9.7
DEG1,PT,2015,9.5
DEG1,PT,2016,8.2
DEG1,PT,2017,7.9
DEG1,PT,2018,6.0
DEG1,PT,2019,7.3
DEG1,PT,2020,4.8
DEG1,PT,2021,6.6
DEG1,RO,2010,13.4
DEG1,RO,2011,9.3
DEG1,RO,2012,16.9
DEG1,RO,2013,16.0
DEG1,RO,2014,13.7
DEG1,RO,2015,13.8
DEG1,RO,2016,13.7
DEG1,RO,2017,9.6
DEG1,RO,2018,7.0
DEG1,RO,2019,5.2
DEG1,RO,2020,5.5
DEG1,RO,2021,4.7
DEG1,RS,2013,24.4
DEG1,RS,2014,28.9
DEG1,RS,2015,28.4
DEG1,RS,2016,31.3
DEG1,RS,2017,30.6
DEG1,RS,2018,28.0
DEG1,RS,2019,19.7
DEG1,RS,2020,16.3
DEG1,RS,2021,14.4
DEG1,SE,2010,10.8
DEG1,SE,2011,10.7
DEG1,SE,2012,9.8
DEG1,SE,2013,11.2
DEG1,SE,2014,11.2
DEG1,SE,2015,11.2
DEG1,SE,2016,11.3
DEG1,SE,2017,10.6
DEG1,SE,2018,10.1
DEG1,SE,2019,12.4
DEG1,SE,2020,10.1
DEG1,SE,2021,10.6
DEG1,SI,2010,5.7
DEG1,SI,2011,5.8
DEG1,SI,2012,7.6
DEG1,SI,2013,8.5
DEG1,SI,2014,9.9
DEG1,SI,2015,9.2
DEG1,SI,2016,9.3
DEG1,SI,2017,7.2
DEG1,SI,2018,7.6
DEG1,SI,2019,7.4
DEG1,SI,2020,7.1
DEG1,SI,2021,4.5
DEG1,SK,2010,5.8
DEG1,SK,2011,8.0
DEG1,SK,2012,7.7
DEG1,SK,2013,8.2
DEG1,SK,2014,10.8
DEG1,SK,2015,12.1
DEG1,SK,2016,7.0
DEG1,SK,2017,7.8
DEG1,SK,2018,5.6
DEG1,SK,2019,8.9
DEG1,SK,2020,3.6
DEG1,SK,2021,10.1
DEG1,UK,2010,17.8
DEG1,UK,2011,17.0
DEG1,UK,2012,7.9
DEG1,UK,2013,9.3
DEG1,UK,2014,14.4
DEG1,UK,2015,14.5
DEG1,UK,2016,14.0
DEG1,UK,2017,13.5
DEG1,UK,2018,16.2
DEG3,AL,2017,10.9
DEG3,AL,2018,5.1
DEG3,AL,2019,4.9
DEG3,AL,2020,3.0
DEG3,AT,2010,3.3
DEG3,AT,2011,3.0
DEG3,AT,2012,3.8
DEG3,AT,2013,4.3
DEG3,AT,2014,3.0
DEG3,AT,2015,2.4
DEG3,AT,2016,3.8
DEG3,AT,2017,4.0
DEG3,AT,2018,4.0
DEG3,AT,2019,3.6
DEG3,AT,2020,3.2
DEG3,AT,2021,3.4
DEG3,AT,2022,4.1
DEG3,BE,2010,9.3
DEG3,BE,2011,9.1
DEG3,BE,2012,9.8
DEG3,BE,2013,7.1
DEG3,BE,2014,8.5
DEG3,BE,2015,6.7
DEG3,BE,2016,7.1
DEG3,BE,2017,6.9
DEG3,BE,2018,6.0
DEG3,BE,2019,6.5
DEG3,BE,2020,5.4
DEG3,BE,2021,4.4
DEG3,BE,2022,4.9
DEG3,BG,2010,6.6
DEG3,BG,2011,8.8
DEG3,BG,2012,17.5
DEG3,BG,2013,17.1
DEG3,BG,2014,15.1
DEG3,BG,2015,16.2
DEG3,BG,2016,23.8
DEG3,BG,2017,20.4
DEG3,BG,2018,22.0
DEG3,BG,2019,18.5
DEG3,BG,2020,16.4
DEG3,BG,2021,13.3
DEG3,BG,2022,18.1
DEG3,CH,2010,13.1
DEG3,CH,2011,10.0
DEG3,CH,2012,9.9
DEG3,CH,2013,8.8
DEG3,CH,2014,8.8
DEG3,CH,2015,9.4
DEG3,CH,2016,8.4
DEG3,CH,2017,8.7
DEG3,CH,2018,8.4
DEG3,CH,2019,10.3
DEG3,CH,2020,9.1
DEG3,CH,2021,9.7
DEG3,CY,2010,1.5
DEG3,CY,2011,2.2
DEG3,CY,2012,1.2
DEG3,CY,2013,2.2
DEG3,CY,2014,2.3
DEG3,CY,2015,3.0
DEG3,CY,2016,2.1
DEG3,CY,2017,1.4
DEG3,CY,2018,0.6
DEG3,CY,2019,1.9
DEG3,CY,2020,1.4
DEG3,CY,2021,1.3
DEG3,CZ,2010,8.5
DEG3,CZ,2011,7.7
DEG3,CZ,2012,6.5
DEG3,CZ,2013,8.0
DEG3,CZ,2014,7.6
DEG3,CZ,2015,5.9
DEG3,CZ,2016,5.2
DEG3,CZ,2017,5.4
DEG3,CZ,2018,4.4
DEG3,CZ,2019,3.2
DEG3,CZ,2020,3.6
DEG3,CZ,2021,2.9
DEG3,DE,2010,12.3
DEG3,DE,2011,13.6
DEG3,DE,2012,13.9
DEG3,DE,2013,13.3
DEG3,DE,2014,12.7
DEG3,DE,2015,12.0
DEG3,DE,2016,12.2
DEG3,DE,2017,11.0
DEG3,DE,2018,10.4
DEG3,DE,2019,12.4
DEG3,DE,2020,6.8
DEG3,DE,2021,8.6
DEG3,DK,2010,16.4
DEG3,DK,2011,14.8
DEG3,DK,2012,12.3
DEG3,DK,2013,13.6
DEG3,DK,2014,10.9
DEG3,DK,2015,10.9
DEG3,DK,2016,9.4
DEG3,DK,2017,9.9
DEG3,DK,2018,10.7
DEG3,DK,2019,11.5
DEG3,DK,2020,9.7
DEG3,DK,2021,10.5
DEG3,EE,2010,4.8
DEG3,EE,2011,5.9
DEG3,EE,2012,5.8
DEG3,EE,2013,5.4
DEG3,EE,2014,6.2
DEG3,EE,2015,5.2
DEG3,EE,2016,3.5
DEG3,EE,2017,3.6
DEG3,EE,2018,2.7
DEG3,EE,2019,3.3
DEG3,EE,2020,3.5
DEG3,EE,2021,3.2
DEG3,EE,2022,4.0
DEG3,EL,2010,17.7
DEG3,EL,2011,20.5
DEG3,EL,2012,30.1
DEG3,EL,2013,34.4
DEG3,EL,2014,41.2
DEG3,EL,2015,39.6
DEG3,EL,2016,34.6
DEG3,EL,2017,31.9
DEG3,EL,2018,31.7
DEG3,EL,2019,28.3
DEG3,EL,2020,25.0
DEG3,EL,2021,22.0
DEG3,ES,2010,6.2
DEG3,ES,2011,8.1
DEG3,ES,2012,8.0
DEG3,ES,2013,7.9
DEG3,ES,2014,8.7
DEG3,ES,2015,8.6
DEG3,ES,2016,6.8
DEG3,ES,2017,6.9
DEG3,ES,2018,6.0
DEG3,ES,2019,4.6
DEG3,ES,2020,5.1
DEG3,ES,2021,5.3
DEG3,ES,2022,4.7
DEG3,EU27_2020,2010,8.7
DEG3,EU27_2020,2011,9.0
DEG3,EU27_2020,2012,9.6
DEG3,EU27_2020,2013,10.0
DEG3,EU27_2020,2014,9.9
DEG3,EU27_2020,2015,9.1
DEG3,EU27_2020,2016,8.5
DEG3,EU27_2020,2017,7.7
DEG3,EU27_2020,2018,7.1
DEG3,EU27_2020,2019,7.0
DEG3,EU27_2020,2020,5.8
DEG3,EU27_2020,2021,6.2
DEG3,FI,2010,3.5
DEG3,FI,2011,3.9
DEG3,FI,2012,4.1
DEG3,FI,2013,3.9
DEG3,FI,2014,3.6
DEG3,FI,2015,2.9
DEG3,FI,2016,3.1
DEG3,FI,2017,2.8
DEG3,FI,2018,2.7
DEG3,FI,2019,2.5
DEG3,FI,2020,2.5
DEG3,FI,2021,2.6
DEG3,FI,2022,3.6
DEG3,FR,2010,2.9
DEG3,FR,2011,2.9
DEG3,FR,2012,3.0
DEG3,FR,2013,3.5
DEG3,FR,2014,2.9
DEG3,FR,2015,3.4
DEG3,FR,2016,3.0
DEG3,FR,2017,2.5
DEG3,FR,2018,2.4
DEG3,FR,2019,2.8
DEG3,FR,2020,3.4
DEG3,HR,2010,14.9
DEG3,HR,2011,8.5
DEG3,HR,2012,8.1
DEG3,HR,2013,7.7
DEG3,HR,2014,7.8
DEG3,HR,2015,8.6
DEG3,HR,2016,7.4
DEG3,HR,2017,6.1
DEG3,HR,2018,6.0
DEG3,HR,2019,6.1
DEG3,HR,2020,5.1
DEG3,HR,2021,5.5
DEG3,HU,2010,11.0
DEG3,HU,2011,12.8
DEG3,HU,2012,13.6
DEG3,HU,2013,15.5
DEG3,HU,2014,11.4
DEG3,HU,2015,7.6
DEG3,HU,2016,8.9
DEG3,HU,2017,9.5
DEG3,HU,2018,9.6
DEG3,HU,2019,2.4
DEG3,HU,2020,2.2
DEG3,HU,2021,2.2
DEG3,IE,2010,4.0
DEG3,IE,2011,4.0
DEG3,IE,2012,5.2
DEG3,IE,2013,3.9
DEG3,IE,2014,4.5
DEG3,IE,2015,3.3
DEG3,IE,2016,3.1
DEG3,IE,2017,2.7
DEG3,IE,2018,2.2
DEG3,IE,2019,1.8
DEG3,IE,2020,2.3
DEG3,IE,2021,1.6
DEG3,IS,2010,7.4
DEG3,IS,2011,9.1
DEG3,IS,2012,6.0
DEG3,IS,2013,7.9
DEG3,IS,2014,5.5
DEG3,IS,2015,4.8
DEG3,IS,2016,4.6
DEG3,IS,2017,5.1
DEG3,IS,2018,5.3
DEG3,IT,2010,5.8
DEG3,IT,2011,6.7
DEG3,IT,2012,5.8
DEG3,IT,2013,6.4
DEG3,IT,2014,7.8
DEG3,IT,2015,6.0
DEG3,IT,2016,7.0
DEG3,IT,2017,5.6
DEG3,IT,2018,5.0
DEG3,IT,2019,6.9
DEG3,IT,2020,6.8
DEG3,IT,2021,6.4
DEG3,LT,2010,8.7
DEG3,LT,2011,9.1
DEG3,LT,2012,6.8
DEG3,LT,2013,6.7
DEG3,LT,2014,5.5
DEG3,LT,2015,8.3
DEG3,LT,2016,7.8
DEG3,LT,2017,8.3
DEG3,LT,2018,6.7
DEG3,LT,2019,5.3
DEG3,LT,2020,3.3
DEG3,LT,2021,3.9
DEG3,LU,2010,3.9
DEG3,LU,2011,3.2
DEG3,LU,2012,4.5
DEG3,LU,2013,4.3
DEG3,LU,2014,5.7
DEG3,LU,2015,4.2
DEG3,LU,2016,5.5
DEG3,LU,2017,6.4
DEG3,LU,2018,7.6
DEG3,LU,2019,8.6
DEG3,LU,2020,5.6
DEG3,LU,2021,4.3
DEG3,LV,2010,7.9
DEG3,LV,2011,9.9
DEG3,LV,2012,8.4
DEG3,LV,2013,9.8
DEG3,LV,2014,8.3
DEG3,LV,2015,7.5
DEG3,LV,2016,5.6
DEG3,LV,2017,6.5
DEG3,LV,2018,6.2
DEG3,LV,2019,6.1
DEG3,LV,2020,4.6
DEG3,LV,2021,5.2
DEG3,LV,2022,5.2
DEG3,MK,2016,10.9
DEG3,MK,2017,11.9
DEG3,MK,2018,11.0
DEG3,MK,2019,11.2
DEG3,MK,2020,9.3
DEG3,MT,2010,
DEG3,MT,2011,
DEG3,MT,2012,
DEG3,MT,2013,
DEG3,MT,2014,0.0
DEG3,MT,2015,0.0
DEG3,MT,2016,0.0
DEG3,MT,2017,
DEG3,MT,2018,
DEG3,MT,2019,
DEG3,MT,2020,
DEG3,MT,2021,2.3
DEG3,NL,2010,6.6
DEG3,NL,2011,6.9
DEG3,NL,2012,11.4
DEG3,NL,2013,10.8
DEG3,NL,2014,13.0
DEG3,NL,2015,9.7
DEG3,NL,2016,5.9
DEG3,NL,2017,5.1
DEG3,NL,2018,4.6
DEG3,NL,2019,5.6
DEG3,NL,2020,5.0
DEG3,NL,2021,8.3
DEG3,NL,2022,14.5
DEG3,NO,2010,7.9
DEG3,NO,2011,10.7
DEG3,NO,2012,8.6
DEG3,NO,2013,7.5
DEG3,NO,2015,6.8
DEG3,NO,2016,7.4
DEG3,NO,2017,6.4
DEG3,NO,2018,8.6
DEG3,NO,2019,7.5
DEG3,NO,2020,5.8
DEG3,PL,2010,7.7
DEG3,PL,2011,9.1
DEG3,PL,2012,9.2
DEG3,PL,2013,9.4
DEG3,PL,2014,8.5
DEG3,PL,2015,7.9
DEG3,PL,2016,6.2
DEG3,PL,2017,5.0
DEG3,PL,2018,4.8
DEG3,PL,2019,4.7
DEG3,PL,2020,4.4
DEG3,PL,2021,5.3
DEG3,PT,2010,3.3
DEG3,PT,2011,5.6
DEG3,PT,2012,6.1
DEG3,PT,2013,5.7
DEG3,PT,2014,7.1
DEG3,PT,2015,7.3
DEG3,PT,2016,5.9
DEG3,PT,2017,5.0
DEG3,PT,2018,5.1
DEG3,PT,2019,4.6
DEG3,PT,2020,3.2
DEG3,PT,2021,4.5
DEG3,RO,2010,17.1
DEG3,RO,2011,11.3
DEG3,RO,2012,19.0
DEG3,RO,2013,17.8
DEG3,RO,2014,18.6
DEG3,RO,2015,18.6
DEG3,RO,2016,16.4
DEG3,RO,2017,15.0
DEG3,RO,2018,13.2
DEG3,RO,2019,11.3
DEG3,RO,2020,8.1
DEG3,RO,2021,10.8
DEG3,RS,2013,29.3
DEG3,RS,2014,35.4
DEG3,RS,2015,37.6
DEG3,RS,2016,31.9
DEG3,RS,2017,35.8
DEG3,RS,2018,35.1
DEG3,RS,2019,23.5
DEG3,RS,2020,19.0
DEG3,RS,2021,16.1
DEG3,SE,2010,6.8
DEG3,SE,2011,8.8
DEG3,SE,2012,8.1
DEG3,SE,2013,8.4
DEG3,SE,2014,8.1
DEG3,SE,2015,7.0
DEG3,SE,2016,6.1
DEG3,SE,2017,7.4
DEG3,SE,2018,6.2
DEG3,SE,2019,6.8
DEG3,SE,2020,7.6
DEG3,SE,2021,7.5
DEG3,SI,2010,3.9
DEG3,SI,2011,3.8
DEG3,SI,2012,3.9
DEG3,SI,2013,4.6
DEG3,SI,2014,5.1
DEG3,SI,2015,4.9
DEG3,SI,2016,4.3
DEG3,SI,2017,4.2
DEG3,SI,2018,3.7
DEG3,SI,2019,3.1
DEG3,SI,2020,3.6
DEG3,SI,2021,3.4
DEG3,SK,2010,8.4
DEG3,SK,2011,8.7
DEG3,SK,2012,9.1
DEG3,SK,2013,9.1
DEG3,SK,2014,8.8
DEG3,SK,2015,7.8
DEG3,SK,2016,8.0
DEG3,SK,2017,8.2
DEG3,SK,2018,2.7
DEG3,SK,2019,4.0
DEG3,SK,2020,2.5
DEG3,SK,2021,5.9
DEG3,UK,2010,16.0
DEG3,UK,2011,15.1
DEG3,UK,2012,5.5
DEG3,UK,2013,5.3
DEG3,UK,2014,9.3
DEG3,UK,2015,9.5
DEG3,UK,2016,10.5
DEG3,UK,2017,10.7
DEG3,UK,2018,14.9
